county,reporting_date,crisis,rfq_mean,r3q_mean,r1q_mean,staple_price_kes,staple_price_usd,has_price_data,price_mom_change,prev_crisis,crisis_streak,drought_streak,is_asal,season_long_rains,season_short_rains
Tharaka-Nithi,2022-06-01,1,41.60770683333333,68.355652,75.96476666666668,,,0,,0.0,0,93,1,1,0
Tharaka-Nithi,2022-10-01,1,98.6350825,111.64505416666667,101.47530416666666,,,0,,1.0,34,0,1,0,0
Tharaka-Nithi,2023-02-01,0,77.57121,85.201129,67.21311733333333,,,0,,1.0,35,76,1,0,0
Tharaka-Nithi,2023-06-01,1,52.59728916666666,145.99991833333334,123.18315616666666,,,0,,0.0,0,0,1,1,0
Tharaka-Nithi,2023-10-01,0,101.92393249999999,115.2193125,95.62576,,,0,,1.0,27,0,1,0,0
Tharaka-Nithi,2024-02-01,0,132.67028000000002,155.28951166666667,118.50140916666668,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2024-06-01,0,136.14207666666667,167.660215,182.32280833333334,,,0,,0.0,0,0,1,1,0
Tharaka-Nithi,2024-10-01,0,81.9367395,85.19573,83.0325045,,,0,,0.0,0,81,1,0,0
Tharaka-Nithi,2025-10-01,0,98.15549083333333,105.46964266666667,110.20947983333333,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2026-02-01,0,48.29191266666667,59.53392066666667,73.923434,,,0,,0.0,0,68,1,0,0
Trans-Nzoia,2011-01-01,0,110.192528,91.94681633333333,79.51941466666666,,,0,,,0,131,0,0,1
Trans-Nzoia,2011-04-01,0,139.86668333333333,91.088979,111.14595000000001,,,0,,0.0,0,132,0,1,0
Trans-Nzoia,2011-07-01,0,129.24782333333334,89.61147999999999,108.14721333333334,,,0,,0.0,0,133,0,0,0
Trans-Nzoia,2011-10-01,0,118.82142800000001,128.31596333333334,144.15423333333334,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2012-01-01,0,81.275305,148.29625000000001,201.21255999999997,,,0,,0.0,0,0,0,0,1
Trans-Nzoia,2012-04-01,0,53.35162833333334,44.10814266666667,59.20557,,,0,,0.0,0,69,0,1,0
Trans-Nzoia,2012-07-01,0,116.46824833333334,140.56228333333334,114.06371,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2012-10-01,0,201.89951333333332,136.82079000000002,188.95923666666667,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2013-01-01,0,159.83624333333333,136.72481333333334,110.96328666666666,,,0,,0.0,0,0,0,0,1
Trans-Nzoia,2013-04-01,0,144.60036666666667,131.04903,104.22495400000001,,,0,,0.0,0,0,0,1,0
Trans-Nzoia,2013-07-01,0,94.84056666666665,124.86885666666666,80.92476666666666,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2013-10-01,0,157.99737666666667,125.39538866666668,160.45429000000001,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2014-01-01,0,147.09198833333332,126.31572966666666,134.96589666666668,,,0,,0.0,0,0,0,0,1
Trans-Nzoia,2014-04-01,0,108.05433099999999,88.78814799999999,90.11835,,,0,,0.0,0,80,0,1,0
Trans-Nzoia,2014-07-01,0,99.642715,80.24665333333333,110.09762333333333,,,0,,0.0,0,81,0,0,0
Trans-Nzoia,2014-10-01,0,85.46761566666667,109.35907166666668,101.57488666666666,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2015-01-01,0,83.85310566666666,123.88484833333332,105.796275,,,0,,0.0,0,0,0,0,1
Trans-Nzoia,2015-04-01,0,42.830727,35.688276,37.38579033333333,,,0,,0.0,0,65,0,1,0
Trans-Nzoia,2015-07-01,0,129.952389,109.20790966666668,123.73926666666667,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2015-10-01,0,94.31391166666667,73.575565,72.426659,,,0,,0.0,0,62,0,0,0
Trans-Nzoia,2016-02-01,0,132.74768466666666,160.82974333333334,127.66783,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2016-06-01,0,116.15455333333334,127.84766166666667,134.84025,,,0,,0.0,0,0,0,1,0
Trans-Nzoia,2016-10-01,0,87.00154966666666,90.065332,63.199713333333335,,,0,,0.0,0,87,0,0,0
Trans-Nzoia,2017-02-01,0,115.26208666666668,53.15421533333333,71.64881266666667,,,0,,0.0,0,88,0,0,0
Trans-Nzoia,2017-06-01,0,119.39876333333332,86.35755,101.36037666666668,,,0,,0.0,0,89,0,1,0
Trans-Nzoia,2017-10-01,0,143.75835666666669,157.15398333333334,141.17790333333332,,,0,,0.0,0,0,0,0,0
Trans-Nzoia,2018-02-01,0,60.809044666666665,97.35847366666667,44.12998833333334,,,0,,0.0,0,81,0,0,0
Trans-Nzoia,2018-06-01,0,179.59822,171.71578,167.3427,,,0,,0.0,0,0,0,1,0
Trans-Nzoia,2018-12-01,0,48.01931066666666,76.72974133333334,56.70113333333333,,,0,,0.0,0,94,0,0,1
Trans-Nzoia,2019-02-01,0,73.35997066666667,68.27178366666668,70.910375,,,0,,0.0,0,95,0,0,0
Trans-Nzoia,2019-06-01,0,85.95467000000001,73.93335333333333,83.97497800000001,,,0,,0.0,0,96,0,1,0
